,filesizeBig_slow_ABD_1048576_11-5-5_1filesizeBig_slow_ABD_1048576_11-5-5_2filesizeBig_slow_ABD_1048576_11-5-5_3,filesizeBig_slow_ABD_131072_11-5-5_1filesizeBig_slow_ABD_131072_11-5-5_2filesizeBig_slow_ABD_131072_11-5-5_3,filesizeBig_slow_ABD_2097152_11-5-5_1filesizeBig_slow_ABD_2097152_11-5-5_2filesizeBig_slow_ABD_2097152_11-5-5_3,filesizeBig_slow_ABD_262144_11-5-5_1filesizeBig_slow_ABD_262144_11-5-5_2filesizeBig_slow_ABD_262144_11-5-5_3,filesizeBig_slow_ABD_4194304_11-5-5_1filesizeBig_slow_ABD_4194304_11-5-5_2filesizeBig_slow_ABD_4194304_11-5-5_3,filesizeBig_slow_ABD_524288_11-5-5_1filesizeBig_slow_ABD_524288_11-5-5_2filesizeBig_slow_ABD_524288_11-5-5_3,filesizeBig_slow_ABD_65536_11-5-5_1filesizeBig_slow_ABD_65536_11-5-5_2filesizeBig_slow_ABD_65536_11-5-5_3
fast_ops_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filesize,20.0,17.0,21.0,18.0,22.0,19.0,16.0
mean_read_operation_latency,1.225839457861298,0.560079244994636,1.9572339595679369,0.7141144440919936,3.3681138242387774,0.8793448044131461,0.423070905403884
median_read_operation_latency,1.2217306146600313,0.5600066215358384,1.9681957901598655,0.7125613523998181,3.383573163492227,0.8756956521600078,0.4203101595238549
std_read_operation_latency,0.006922097942650893,0.00024483090658038663,0.026261504440898253,0.0022278435456615695,0.05323505322724616,0.008047058758847002,0.006073839650684373
max_read_operation_latency,1.2355887618880659,0.5604087420479337,1.9824837882558786,0.7172649865561688,3.4241941300120375,0.8905045558394923,0.4314954960998148
min_read_operation_latency,1.2201989970357974,0.559822371400136,1.9210223002880666,0.712516993319994,3.296574179212068,0.8718342052399384,0.4174070605879824
mean_write_operation_latency,1.0056204602677852,0.33779470844775883,1.8578434556611272,0.41324836694537465,3.6476694676453483,0.586123008097517,0.2723829162215261
median_write_operation_latency,1.0006950825280365,0.33692299656399693,1.8452266945442388,0.4106334033640451,3.6623487109598942,0.5854171958361548,0.2704767426597827
std_write_operation_latency,0.008298203517354044,0.0014230603449500677,0.03885443465181577,0.006050086828873737,0.06450948989497964,0.010564056656503102,0.0031014772013825244
max_write_operation_latency,1.0173078856116045,0.3398014685598027,1.9104672077754365,0.4216111162757297,3.7183080563519324,0.5993997415000049,0.2767570581043256
min_write_operation_latency,0.9988584126637143,0.3366596602194768,1.8178364646637057,0.4075005811963492,3.5623516356242177,0.5735520869563915,0.26991494790047
readers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0
reads_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0
recons_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
servers_no,11.0,11.0,11.0,11.0,11.0,11.0,11.0
succ_writes_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0
unsucc_writes_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0
succ_writes_perc,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
