,throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_3throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_4throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_5throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_2throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_1
fast_ops_no,0.0
max_read_operation_latency,0.002473816637386335
mean_read_operation_latency,0.002227254782806267
median_read_operation_latency,0.002240654368157266
min_read_operation_latency,0.0019313319537322968
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,0.0001927223926556789
succ_writes_no,0.0
unsucc_writes_no,0.0
wEU,0.0
wUS,0.0
writers_no,0.0
writes_no,0.0
