,filesizeBig_slow_ARES_ABD_1048576_11-5-5_1filesizeBig_slow_ARES_ABD_1048576_11-5-5_2filesizeBig_slow_ARES_ABD_1048576_11-5-5_3,filesizeBig_slow_ARES_ABD_131072_11-5-5_1filesizeBig_slow_ARES_ABD_131072_11-5-5_2filesizeBig_slow_ARES_ABD_131072_11-5-5_3,filesizeBig_slow_ARES_ABD_2097152_11-5-5_1filesizeBig_slow_ARES_ABD_2097152_11-5-5_2filesizeBig_slow_ARES_ABD_2097152_11-5-5_3,filesizeBig_slow_ARES_ABD_262144_11-5-5_1filesizeBig_slow_ARES_ABD_262144_11-5-5_2filesizeBig_slow_ARES_ABD_262144_11-5-5_3,filesizeBig_slow_ARES_ABD_4194304_11-5-5_1filesizeBig_slow_ARES_ABD_4194304_11-5-5_2filesizeBig_slow_ARES_ABD_4194304_11-5-5_3,filesizeBig_slow_ARES_ABD_524288_11-5-5_1filesizeBig_slow_ARES_ABD_524288_11-5-5_2filesizeBig_slow_ARES_ABD_524288_11-5-5_3,filesizeBig_slow_ARES_ABD_65536_11-5-5_1filesizeBig_slow_ARES_ABD_65536_11-5-5_2filesizeBig_slow_ARES_ABD_65536_11-5-5_3
fast_ops_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filesize,20.0,17.0,21.0,18.0,22.0,19.0,16.0
mean_read_operation_latency,1.357857123863699,0.6968632285131315,2.0748126362093804,0.8439659264194584,3.5386114628397034,1.0096800300200315,0.5619286101169322
median_read_operation_latency,1.3550725045317378,0.6968415099587583,2.06856201313599,0.844558748055424,3.5347816278481767,1.0117406484046079,0.5582917392993114
std_read_operation_latency,0.01678753556978314,8.750199653923574e-05,0.02708924812205385,0.000991186073700201,0.02170118042407325,0.010719688789108835,0.00518508168281897
max_read_operation_latency,1.379667965483328,0.696979591948504,2.1106707803323808,0.8447695595233234,3.566897029183201,1.021656756635639,0.5692613438562839
min_read_operation_latency,1.3388309015760316,0.6967685836321326,2.04520511515977,0.8425694716796279,3.514155731487732,0.9956426850198478,0.5582327471952012
mean_read_operation_latency_ABD,1.357857123863699,0.6968632285131315,2.0748126362093804,0.8439659264194584,3.5386114628397034,1.0096800300200315,0.5619286101169322
mean_write_operation_latency,1.1651501948094325,0.5033429012172759,2.0308632615577564,0.5781168092058312,3.7520958359090226,0.7625850496114096,0.43339940343489675
median_write_operation_latency,1.1649683725506765,0.5020411957314936,1.9643233315363176,0.5760783776967437,3.7689771872360525,0.7586305587250972,0.4310551996434806
std_write_operation_latency,0.005460970758691154,0.0022674795036031026,0.09655260962267787,0.00415517647803971,0.0271217211385265,0.014262505249236532,0.003437740473438087
max_write_operation_latency,1.171927548037609,0.5065317388045077,2.167394729181891,0.5839090570242261,3.773482104763913,0.7816912204542895,0.43826008510909736
min_write_operation_latency,1.158554663840012,0.5014557691158261,1.9608717239550608,0.5743629928965238,3.7138282157271023,0.7474333696548419,0.4308829255521123
mean_write_operation_latency_ABD,1.1651501948094325,0.5033429012172759,2.0308632615577564,0.5781168092058312,3.7520958359090226,0.7625850496114096,0.43339940343489675
readers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0
reads_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0
recons_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
servers_no,11.0,11.0,11.0,11.0,11.0,11.0,11.0
succ_writes_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0
unsucc_writes_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0
succ_writes_perc,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
