,scalabilityreconfixed_slow_ARES_EC_11-5-15-1_1scalabilityreconfixed_slow_ARES_EC_11-5-15-1_2scalabilityreconfixed_slow_ARES_EC_11-5-15-1_3,scalabilityreconfixed_slow_ARES_EC_11-5-15-3_1scalabilityreconfixed_slow_ARES_EC_11-5-15-3_2scalabilityreconfixed_slow_ARES_EC_11-5-15-3_3,scalabilityreconfixed_slow_ARES_EC_11-5-15-5_1scalabilityreconfixed_slow_ARES_EC_11-5-15-5_2scalabilityreconfixed_slow_ARES_EC_11-5-15-5_3
fast_ops_no,0.0,0.0,0.0
mean_read_operation_latency,2.4689420656706784,2.826813641823822,3.438339427500905
median_read_operation_latency,2.472044741519232,2.8299045354648076,3.3688178718047466
std_read_operation_latency,0.01426576196613352,0.025987649439757114,0.18747038864969914
max_read_operation_latency,2.4846547944355017,2.856983674937908,3.6946691221692216
min_read_operation_latency,2.4501266610573027,2.793552715068751,3.2515312885287466
mean_read_operation_latency_EC,2.4689420656706784,2.826813641823822,3.438339427500905
mean_recon_operation_latency,4.551272846399418,4.937753614199271,5.279776438265496
mean_write_operation_latency,1.264325855101905,1.4821853889481282,2.029175425485116
median_write_operation_latency,1.256715821553953,1.5007377211577553,1.8123803002214118
std_write_operation_latency,0.01541555174539504,0.03802235461230755,0.35110671629858614
max_write_operation_latency,1.2858233673321955,1.5166174303401203,2.5244370399379985
min_write_operation_latency,1.2504383764195663,1.429201015346509,1.7507089362959376
mean_write_operation_latency_EC,1.264325855101905,1.4821853889481282,2.029175425485116
readers_no,15.0,15.0,15.0
reads_no,1500.0,1500.0,1500.0
recons_no,20.0,60.0,100.0
servers_no,11.0,11.0,11.0
succ_writes_no,500.0,500.0,500.0
unsucc_writes_no,0.0,0.0,0.0
writers_no,5.0,5.0,5.0
writes_no,500.0,500.0,500.0
succ_writes_perc,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0
