,throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_4throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_3throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_2throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_5throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_1
fast_ops_no,0.0
max_write_operation_latency,0.6013668135791959
mean_write_operation_latency,0.6010433474214864
mean_write_operation_latency_EC,0.6010433474214864
median_write_operation_latency,0.600955141687009
min_write_operation_latency,0.60076102117126
rEU,0.0
rUS,0.0
readers_no,0.0
reads_no,0.0
recons_no,0.0
sEU,1.0
sUS,2.0
servers_no,3.0
std_write_operation_latency,0.0002193494455621168
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
