,reconsimpleABD_ARES_10-5-10_1reconsimpleABD_ARES_10-5-10_2reconsimpleABD_ARES_10-5-10_3reconsimpleABD_ARES_10-5-10_4reconsimpleABD_ARES_10-5-10_5reconsimpleABD_ARES_10-5-10_6,reconsimpleABD_ARES_10-5-15_1reconsimpleABD_ARES_10-5-15_2reconsimpleABD_ARES_10-5-15_3reconsimpleABD_ARES_10-5-15_4reconsimpleABD_ARES_10-5-15_5reconsimpleABD_ARES_10-5-15_6,reconsimpleABD_ARES_10-5-20_1reconsimpleABD_ARES_10-5-20_2reconsimpleABD_ARES_10-5-20_3reconsimpleABD_ARES_10-5-20_4reconsimpleABD_ARES_10-5-20_5reconsimpleABD_ARES_10-5-20_6,reconsimpleABD_ARES_10-5-25_1reconsimpleABD_ARES_10-5-25_2reconsimpleABD_ARES_10-5-25_3reconsimpleABD_ARES_10-5-25_4reconsimpleABD_ARES_10-5-25_5reconsimpleABD_ARES_10-5-25_6,reconsimpleABD_ARES_10-5-30_1reconsimpleABD_ARES_10-5-30_2reconsimpleABD_ARES_10-5-30_3reconsimpleABD_ARES_10-5-30_4reconsimpleABD_ARES_10-5-30_5reconsimpleABD_ARES_10-5-30_6,reconsimpleABD_ARES_10-5-35_1reconsimpleABD_ARES_10-5-35_2reconsimpleABD_ARES_10-5-35_3reconsimpleABD_ARES_10-5-35_4reconsimpleABD_ARES_10-5-35_5reconsimpleABD_ARES_10-5-35_6,reconsimpleABD_ARES_10-5-40_1reconsimpleABD_ARES_10-5-40_2reconsimpleABD_ARES_10-5-40_3reconsimpleABD_ARES_10-5-40_4reconsimpleABD_ARES_10-5-40_5reconsimpleABD_ARES_10-5-40_6,reconsimpleABD_ARES_10-5-45_1reconsimpleABD_ARES_10-5-45_2reconsimpleABD_ARES_10-5-45_3reconsimpleABD_ARES_10-5-45_4reconsimpleABD_ARES_10-5-45_5reconsimpleABD_ARES_10-5-45_6,reconsimpleABD_ARES_10-5-50_1reconsimpleABD_ARES_10-5-50_2reconsimpleABD_ARES_10-5-50_3reconsimpleABD_ARES_10-5-50_4reconsimpleABD_ARES_10-5-50_5reconsimpleABD_ARES_10-5-50_6,reconsimpleABD_ARES_10-5-5_1reconsimpleABD_ARES_10-5-5_2reconsimpleABD_ARES_10-5-5_3reconsimpleABD_ARES_10-5-5_4reconsimpleABD_ARES_10-5-5_5reconsimpleABD_ARES_10-5-5_6
mean_read_operation_latency_ABD,0.5225609111671955,0.5263218108950282,0.5388382225832045,0.5904314781778989,0.6030239570845273,0.6051074420221427,0.7139382797637501,0.7617949655519171,0.856963004004122,0.46968525501446345
median_read_operation_latency_ABD,0.5858187639074739,0.5431302367306227,0.5412996910479593,0.5999911289443651,0.6343647013386049,0.6443720307673487,0.7121559749973323,0.7531636626494396,0.8204129881298383,0.5089884138816614
std_read_operation_latency_ABD,0.1630333353696134,0.1036414585110191,0.09746843333592412,0.11526719032795076,0.10684803209598674,0.09893303362765489,0.07505687811949409,0.17451388257123074,0.27709161305828617,0.06905858316410307
max_read_operation_latency_ABD,0.6751386622766646,0.6327272635822122,0.6377068321250021,0.7067727535353069,0.6915101511666438,0.6616597590990534,0.7976076133637509,0.9521905578611086,1.1751655070493365,0.5288684661533505
min_read_operation_latency_ABD,0.3079869119199763,0.40279346985334796,0.43585744935421944,0.43663330368537323,0.3942012642616363,0.38467314234765154,0.6291011653849896,0.5841546463100489,0.5799153807470419,0.3624703212066864
sem_read_operation_latency_ABD,0.07291072409699528,0.04634986930357257,0.04358920851990659,0.05154905462974083,0.047783892605741146,0.04424419768234179,0.03356645633082107,0.07804498088933755,0.12391913655867928,0.030883937276951396
mean_read_operation_latency_total,0.5225609111671955,0.5263218108950282,0.5388382225832045,0.5904314781778989,0.6030239570845273,0.6051074420221427,0.7139382797637501,0.7617949655519171,0.856963004004122,0.46968525501446345
median_read_operation_latency_total,0.5858187639074739,0.5431302367306227,0.5412996910479593,0.5999911289443651,0.6343647013386049,0.6443720307673487,0.7121559749973323,0.7531636626494396,0.8204129881298383,0.5089884138816614
std_read_operation_latency_total,0.1630333353696134,0.1036414585110191,0.09746843333592412,0.11526719032795076,0.10684803209598674,0.09893303362765489,0.07505687811949409,0.17451388257123074,0.27709161305828617,0.06905858316410307
max_read_operation_latency_total,0.6751386622766646,0.6327272635822122,0.6377068321250021,0.7067727535353069,0.6915101511666438,0.6616597590990534,0.7976076133637509,0.9521905578611086,1.1751655070493365,0.5288684661533505
min_read_operation_latency_total,0.3079869119199763,0.40279346985334796,0.43585744935421944,0.43663330368537323,0.3942012642616363,0.38467314234765154,0.6291011653849896,0.5841546463100489,0.5799153807470419,0.3624703212066864
sem_read_operation_latency_total,0.07291072409699528,0.04634986930357257,0.04358920851990659,0.05154905462974083,0.047783892605741146,0.04424419768234179,0.03356645633082107,0.07804498088933755,0.12391913655867928,0.030883937276951396
mean_recon_operation_latency,1.9935686313053542,2.4134545300831225,1.82371955680565,2.419918853972377,2.2448745806944115,1.2790443056108212,2.2886603356943676,1.534802175277668,1.9174449912498834,2.3778564481664386
median_recon_operation_latency,1.059485711833228,2.258034697000236,2.1680499244171942,2.216609153833285,1.8079818112499502,1.20215648166671,2.0699848190835537,1.5600558083328906,2.0653800947497984,1.6396765999999539
std_recon_operation_latency,1.382005419963857,0.8523491990530446,0.5157324798543522,0.8312092528039119,1.2453687638836461,0.28047411006154355,0.48318960475101724,0.4839274512964929,0.4442683077187337,1.5173899553629084
max_recon_operation_latency,4.343536175832924,3.77538767466649,2.22009032799906,3.8362264286673358,4.6049832301669085,1.8195694914987446,3.062164862999149,2.095103060833329,2.424076431000079,4.56156265766549
min_recon_operation_latency,1.0035895355000928,0.9888940613327577,1.0868557494998943,1.1218582523342775,1.0212859599990527,1.0073485294991162,1.8176048259999789,0.9852351500006383,1.0106161564996607,1.0304200866665572
sem_recon_operation_latency,0.6180516128624659,0.3811821499300215,0.2306425766317745,0.371728078559271,0.5569458426197436,0.12543183520527385,0.21608896044890602,0.21641893545543536,0.19868282726157666,0.678597417713367
