,reconsimpleEC_ARES_10-5-10_1reconsimpleEC_ARES_10-5-10_2reconsimpleEC_ARES_10-5-10_3reconsimpleEC_ARES_10-5-10_4reconsimpleEC_ARES_10-5-10_5reconsimpleEC_ARES_10-5-10_6,reconsimpleEC_ARES_10-5-15_1reconsimpleEC_ARES_10-5-15_2reconsimpleEC_ARES_10-5-15_3reconsimpleEC_ARES_10-5-15_4reconsimpleEC_ARES_10-5-15_5reconsimpleEC_ARES_10-5-15_6,reconsimpleEC_ARES_10-5-20_1reconsimpleEC_ARES_10-5-20_2reconsimpleEC_ARES_10-5-20_3reconsimpleEC_ARES_10-5-20_4reconsimpleEC_ARES_10-5-20_5reconsimpleEC_ARES_10-5-20_6,reconsimpleEC_ARES_10-5-25_1reconsimpleEC_ARES_10-5-25_2reconsimpleEC_ARES_10-5-25_3reconsimpleEC_ARES_10-5-25_4reconsimpleEC_ARES_10-5-25_5reconsimpleEC_ARES_10-5-25_6,reconsimpleEC_ARES_10-5-30_1reconsimpleEC_ARES_10-5-30_2reconsimpleEC_ARES_10-5-30_3reconsimpleEC_ARES_10-5-30_4reconsimpleEC_ARES_10-5-30_5reconsimpleEC_ARES_10-5-30_6,reconsimpleEC_ARES_10-5-35_1reconsimpleEC_ARES_10-5-35_2reconsimpleEC_ARES_10-5-35_3reconsimpleEC_ARES_10-5-35_4reconsimpleEC_ARES_10-5-35_5reconsimpleEC_ARES_10-5-35_6,reconsimpleEC_ARES_10-5-40_1reconsimpleEC_ARES_10-5-40_2reconsimpleEC_ARES_10-5-40_3reconsimpleEC_ARES_10-5-40_4reconsimpleEC_ARES_10-5-40_5reconsimpleEC_ARES_10-5-40_6,reconsimpleEC_ARES_10-5-45_1reconsimpleEC_ARES_10-5-45_2reconsimpleEC_ARES_10-5-45_3reconsimpleEC_ARES_10-5-45_4reconsimpleEC_ARES_10-5-45_5reconsimpleEC_ARES_10-5-45_6,reconsimpleEC_ARES_10-5-50_1reconsimpleEC_ARES_10-5-50_2reconsimpleEC_ARES_10-5-50_3reconsimpleEC_ARES_10-5-50_4reconsimpleEC_ARES_10-5-50_5reconsimpleEC_ARES_10-5-50_6,reconsimpleEC_ARES_10-5-5_1reconsimpleEC_ARES_10-5-5_2reconsimpleEC_ARES_10-5-5_3reconsimpleEC_ARES_10-5-5_4reconsimpleEC_ARES_10-5-5_5reconsimpleEC_ARES_10-5-5_6
mean_read_operation_latency_EC,0.18458156281859472,0.22653296989175944,0.2351370797657273,0.25292173086213854,0.27227864113887706,0.2950705182078439,0.31619565322824955,0.3448656394341576,0.40492217226090843,0.21513174785002373
median_read_operation_latency_EC,0.18406754102498477,0.22906251280215856,0.2338795209871023,0.2529685319346924,0.2700540521147802,0.29838029854023435,0.3163191638918412,0.34489321111606575,0.4085147657146846,0.2156908895415836
std_read_operation_latency_EC,0.001867411765932224,0.007352172734788434,0.007640339205614517,0.0108229070701543,0.007605962454898888,0.007465506188005047,0.0061267522941938005,0.024956343179805152,0.01488591534232721,0.001956482214000008
max_read_operation_latency_EC,0.18789919921500162,0.23384988889315636,0.24511047829433058,0.2699110309799338,0.28737843939036084,0.30134870787085677,0.32523980011957365,0.3762197150675125,0.4254258207843158,0.21721686278334046
min_read_operation_latency_EC,0.18263593452660037,0.210903132638721,0.2250276523716396,0.23366722668264261,0.2639329820729028,0.28001620578244213,0.30841041564540317,0.3111637289974358,0.38289957330801305,0.21174904576034653
sem_read_operation_latency_EC,0.0008351319301214758,0.003287991603461494,0.0034168635669821613,0.004840151184605621,0.0034014898166930185,0.003338675864564922,0.002739966922224026,0.011160815963971516,0.006657183722550139,0.0008749654454546618
mean_read_operation_latency_total,0.18458156281859472,0.22653296989175944,0.2351370797657273,0.25292173086213854,0.27227864113887706,0.2950705182078439,0.31619565322824955,0.3448656394341576,0.40492217226090843,0.21513174785002373
median_read_operation_latency_total,0.18406754102498477,0.22906251280215856,0.2338795209871023,0.2529685319346924,0.2700540521147802,0.29838029854023435,0.3163191638918412,0.34489321111606575,0.4085147657146846,0.2156908895415836
std_read_operation_latency_total,0.001867411765932224,0.007352172734788434,0.007640339205614517,0.0108229070701543,0.007605962454898888,0.007465506188005047,0.0061267522941938005,0.024956343179805152,0.01488591534232721,0.001956482214000008
max_read_operation_latency_total,0.18789919921500162,0.23384988889315636,0.24511047829433058,0.2699110309799338,0.28737843939036084,0.30134870787085677,0.32523980011957365,0.3762197150675125,0.4254258207843158,0.21721686278334046
min_read_operation_latency_total,0.18263593452660037,0.210903132638721,0.2250276523716396,0.23366722668264261,0.2639329820729028,0.28001620578244213,0.30841041564540317,0.3111637289974358,0.38289957330801305,0.21174904576034653
