,reconsimple_ARES_10-5-10_1reconsimple_ARES_10-5-10_2reconsimple_ARES_10-5-10_3reconsimple_ARES_10-5-10_4reconsimple_ARES_10-5-10_5reconsimple_ARES_10-5-10_6,reconsimple_ARES_10-5-15_1reconsimple_ARES_10-5-15_2reconsimple_ARES_10-5-15_3reconsimple_ARES_10-5-15_4reconsimple_ARES_10-5-15_5reconsimple_ARES_10-5-15_6,reconsimple_ARES_10-5-20_1reconsimple_ARES_10-5-20_2reconsimple_ARES_10-5-20_3reconsimple_ARES_10-5-20_4reconsimple_ARES_10-5-20_5reconsimple_ARES_10-5-20_6,reconsimple_ARES_10-5-25_1reconsimple_ARES_10-5-25_2reconsimple_ARES_10-5-25_3reconsimple_ARES_10-5-25_4reconsimple_ARES_10-5-25_5reconsimple_ARES_10-5-25_6,reconsimple_ARES_10-5-30_1reconsimple_ARES_10-5-30_2reconsimple_ARES_10-5-30_3reconsimple_ARES_10-5-30_4reconsimple_ARES_10-5-30_5reconsimple_ARES_10-5-30_6,reconsimple_ARES_10-5-35_1reconsimple_ARES_10-5-35_2reconsimple_ARES_10-5-35_3reconsimple_ARES_10-5-35_4reconsimple_ARES_10-5-35_5reconsimple_ARES_10-5-35_6,reconsimple_ARES_10-5-40_1reconsimple_ARES_10-5-40_2reconsimple_ARES_10-5-40_3reconsimple_ARES_10-5-40_4reconsimple_ARES_10-5-40_5reconsimple_ARES_10-5-40_6,reconsimple_ARES_10-5-45_1reconsimple_ARES_10-5-45_2reconsimple_ARES_10-5-45_3reconsimple_ARES_10-5-45_4reconsimple_ARES_10-5-45_5reconsimple_ARES_10-5-45_6,reconsimple_ARES_10-5-50_1reconsimple_ARES_10-5-50_2reconsimple_ARES_10-5-50_3reconsimple_ARES_10-5-50_4reconsimple_ARES_10-5-50_5reconsimple_ARES_10-5-50_6,reconsimple_ARES_10-5-5_1reconsimple_ARES_10-5-5_2reconsimple_ARES_10-5-5_3reconsimple_ARES_10-5-5_4reconsimple_ARES_10-5-5_5reconsimple_ARES_10-5-5_6
mean_read_operation_latency_ABD,0.4423902830307332,0.48432409677455635,0.5076576445064632,0.5737833876140811,0.6160018781388971,0.6712421701381931,0.7701436856099573,0.8531554573961807,1.0059276882892203,0.3904002165612199
median_read_operation_latency_ABD,0.36070550194350975,0.421534269601057,0.4552845519906396,0.5240540608385018,0.5819248414451765,0.6822413915720735,0.795816069613514,0.907703938411497,1.1385607162238285,0.3730576363938656
std_read_operation_latency_ABD,0.15997759536898704,0.1033581932829994,0.09484205221015833,0.09515711108518264,0.05749129195214623,0.04356788715019103,0.08335276841392396,0.18403987675708744,0.28781770374985866,0.11492874227136471
max_read_operation_latency_ABD,0.665128386637441,0.6342388564060119,0.640711271624662,0.7130885854691936,0.6978725621394034,0.7254768087257677,0.8721501538156087,1.063029178879799,1.2848291959371423,0.5287326301779135
min_read_operation_latency_ABD,0.302912327705226,0.3901368880131875,0.41017621039703317,0.4752583337419918,0.5614726476619044,0.5941595704932091,0.6559530111985568,0.6055733109225505,0.605268894493712,0.18776472847679213
sem_read_operation_latency_ABD,0.07154415562440211,0.046223189242469764,0.04241465517349965,0.04255555378579343,0.025710887383857118,0.01948415146077335,0.037276491257266266,0.08230513499990623,0.12871599014251603,0.05139769605746502
mean_read_operation_latency_EC,0.25669015543397267,0.2691218421843296,0.28592322966834405,0.2922653542597076,0.32014493570868957,0.32750170870204515,0.35016532068852974,0.3799847727105403,0.4339822496030182,0.2340697189948896
median_read_operation_latency_EC,0.21932059430207496,0.24819934174293912,0.2666698590632997,0.24999281023710587,0.3012625559579779,0.33030386281925234,0.34569233336755323,0.3828527850764585,0.44382005680150327,0.22452951615347672
std_read_operation_latency_EC,0.07825275990345423,0.04927765619933265,0.049822369694251585,0.06787030642900427,0.045481234800098,0.030665918737336473,0.03728869529151152,0.03240161775633817,0.06409390385615153,0.04546492336136067
max_read_operation_latency_EC,0.36699048167090587,0.352625010407871,0.3585711946358957,0.38959981221179807,0.39120509617603416,0.36544525132440137,0.4183433533133255,0.4306230040965626,0.5161780138987214,0.29801601910395475
