,filesizeCassandra_1048576_11-5-5_1filesizeCassandra_1048576_11-5-5_2filesizeCassandra_1048576_11-5-5_3,filesizeCassandra_131072_11-5-5_1filesizeCassandra_131072_11-5-5_2filesizeCassandra_131072_11-5-5_3,filesizeCassandra_16777216_11-5-5_1filesizeCassandra_16777216_11-5-5_2filesizeCassandra_16777216_11-5-5_3,filesizeCassandra_2097152_11-5-5_1filesizeCassandra_2097152_11-5-5_2filesizeCassandra_2097152_11-5-5_3,filesizeCassandra_262144_11-5-5_1filesizeCassandra_262144_11-5-5_2filesizeCassandra_262144_11-5-5_3,filesizeCassandra_33554432_11-5-5_1filesizeCassandra_33554432_11-5-5_2filesizeCassandra_33554432_11-5-5_3,filesizeCassandra_4194304_11-5-5_1filesizeCassandra_4194304_11-5-5_2filesizeCassandra_4194304_11-5-5_3,filesizeCassandra_524288_11-5-5_1filesizeCassandra_524288_11-5-5_2filesizeCassandra_524288_11-5-5_3,filesizeCassandra_65536_11-5-5_1filesizeCassandra_65536_11-5-5_2filesizeCassandra_65536_11-5-5_3,filesizeCassandra_8388608_11-5-5_1filesizeCassandra_8388608_11-5-5_2filesizeCassandra_8388608_11-5-5_3
filesize,20.0,17.0,24.0,21.0,18.0,25.0,22.0,19.0,16.0,23.0
mean_read_operation_latency,1.4775571944437835,0.798380615006657,7.969690244220868,2.3417849123757284,0.9044769208627986,10.575692356185607,4.061734642339885,1.3571768515775815,0.5849485861735836,14.550736716326815
median_read_operation_latency,1.5168993224553997,0.8103436355280282,7.121149979440591,2.4693735696233925,0.8782805618678104,10.342895741307316,4.093469240983337,1.3600996707362065,0.6024023771242791,10.449357126932235
std_read_operation_latency,0.10167782265154614,0.04593512552608273,1.3171104469019494,0.24233964626323568,0.07484520206009011,3.75165533496535,0.4582012131266118,0.025995355819100015,0.035610781598239924,5.829311586481161
max_read_operation_latency,1.5776639128159151,0.8476957433476929,9.829980731025367,2.5534603772552655,1.0063896233206613,15.282486172797885,4.606373555296624,1.3874523390168325,0.6171327593122842,22.79459407344307
min_read_operation_latency,1.3381083480600355,0.7371024661442498,6.95794002219665,2.002520790248527,0.8287605773999239,6.101695154451619,3.485361130739693,1.3239785449797055,0.5353106220841873,10.408258948605145
mean_write_operation_latency,1.549763556328777,0.8733567561914048,20.415857973722552,2.1009535467374665,0.9502273149226094,15.71488665685095,3.8141773325758943,1.3493255904467467,0.700950030366046,6.782346377660775
median_write_operation_latency,1.5868927807760194,0.871575416776046,10.178842239918254,2.0892977091966167,0.9035380449329968,13.356114763713308,3.6908392142836535,1.3318030587285175,0.7215934242362272,6.85106325403315
std_write_operation_latency,0.05427656981120492,0.024809207593092606,14.720981491999376,0.06385944720466122,0.07109560554131733,4.313935603120342,0.19955032185501329,0.025077528555118987,0.03342940276165992,0.13939881602411053
max_write_operation_latency,1.589379564286326,0.9045931882805307,41.233524282435035,2.18433886092795,1.0506884964026395,21.76687016005338,4.095667404959503,1.3847897460237728,0.727461405128037,6.908008369544012
min_write_operation_latency,1.4730183239239851,0.8439016635176377,9.835207398814367,2.0292240700878326,0.8964554034321919,12.021675046786166,3.6560253784845265,1.3313839665879494,0.6537952617338741,6.587967509405163
readers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
reads_no,250.0,250.0,250.0,250.0,250.0,242.66666666666666,250.0,250.0,250.0,224.33333333333334
recons_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
servers_no,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
succ_writes_no,250.0,250.0,136.66666666666666,250.0,250.0,83.0,250.0,250.0,250.0,250.0
unsucc_writes_no,0.0,0.0,35.333333333333336,0.0,0.0,86.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,250.0,250.0,172.0,250.0,250.0,169.0,250.0,250.0,250.0,250.0
succ_writes_perc,100.0,100.0,79.45736434108527,100.0,100.0,49.112426035502956,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,20.54263565891473,0.0,0.0,50.887573964497044,0.0,0.0,0.0,0.0
