,throughputsEU0US3wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_3throughputsEU0US3wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_4throughputsEU0US3wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_5throughputsEU0US3wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_2throughputsEU0US3wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_1,throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_1throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_4throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_3throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_2throughputsEU0US3wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_5,throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_1throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_4throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_3throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_2throughputsEU0US3wEU0US0rEU1US0_slow_ABD_3-0-1_5
mean_read_operation_latency,0.6011247977498627,0.60078877570373,0.28722985991302413
median_read_operation_latency,0.6012441198790329,0.6006946732609649,0.28722172188249534
std_read_operation_latency,0.00017410972583897617,0.0001433544651355858,2.5782034354351488e-05
max_read_operation_latency,0.6012896361434832,0.6010451224363642,0.2872601714162738
min_read_operation_latency,0.6008560953386477,0.600663799764996,0.2871973607149557
rEU,1.0,1.0,1.0
rUS,0.0,0.0,0.0
readers_no,1.0,1.0,1.0
reads_no,1000.0,1000.0,1000.0
recons_no,0.0,0.0,0.0
sEU,0.0,0.0,0.0
sUS,3.0,3.0,3.0
servers_no,3.0,3.0,3.0
succ_writes_no,0.0,0.0,0.0
unsucc_writes_no,0.0,0.0,0.0
wEU,0.0,0.0,0.0
wUS,0.0,0.0,0.0
writers_no,0.0,0.0,0.0
writes_no,0.0,0.0,0.0
