,throughputsEU1US2wEU1US0rEU0US0_slow_ABD_3-1-0_3throughputsEU1US2wEU1US0rEU0US0_slow_ABD_3-1-0_4throughputsEU1US2wEU1US0rEU0US0_slow_ABD_3-1-0_5throughputsEU1US2wEU1US0rEU0US0_slow_ABD_3-1-0_2throughputsEU1US2wEU1US0rEU0US0_slow_ABD_3-1-0_1,throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_4throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_3throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_2throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_5throughputsEU1US2wEU1US0rEU0US0_slow_ARES_EC_3-1-0-0_1,throughputsEU1US2wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_4throughputsEU1US2wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_3throughputsEU1US2wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_2throughputsEU1US2wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_5throughputsEU1US2wEU1US0rEU0US0_slow_ARES_ABD_3-1-0-0_1
mean_write_operation_latency,0.28722568316099933,0.6010433474214864,0.6008201836965745
median_write_operation_latency,0.2872254241195333,0.600955141687009,0.6008084151473013
std_write_operation_latency,3.585717625111655e-05,0.0002193494455621168,9.6575387732489e-05
max_write_operation_latency,0.287283853730798,0.6013668135791959,0.6009402933853853
min_write_operation_latency,0.2871861628020706,0.60076102117126,0.6007087619567174
rEU,0.0,0.0,0.0
rUS,0.0,0.0,0.0
readers_no,0.0,0.0,0.0
reads_no,0.0,0.0,0.0
recons_no,0.0,0.0,0.0
sEU,1.0,1.0,1.0
sUS,2.0,2.0,2.0
servers_no,3.0,3.0,3.0
succ_writes_no,1000.0,1000.0,1000.0
unsucc_writes_no,0.0,0.0,0.0
wEU,1.0,1.0,1.0
wUS,0.0,0.0,0.0
writers_no,1.0,1.0,1.0
writes_no,1000.0,1000.0,1000.0
succ_writes_perc,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0
