,throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_3throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_4throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_5throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_2throughputsEU3US0wEU0US0rEU1US0_slow_ABD_3-0-1_1,throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_1throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_3throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_4throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_5throughputsEU3US0wEU0US0rEU1US0_slow_ARES_EC_3-0-1-0_2,throughputsEU3US0wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_1throughputsEU3US0wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_3throughputsEU3US0wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_4throughputsEU3US0wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_5throughputsEU3US0wEU0US0rEU1US0_slow_ARES_ABD_3-0-1-0_2
mean_read_operation_latency,0.002227254782806267,0.019633603443700125,0.018421809193957597
median_read_operation_latency,0.002240654368157266,0.01974422882145154,0.018313298442197264
std_read_operation_latency,0.0001927223926556789,0.00017343132312153998,0.00021120760990822666
max_read_operation_latency,0.002473816637386335,0.019816833547258283,0.01868016956219799
min_read_operation_latency,0.0019313319537322968,0.01938523260402144,0.018217305074329487
rEU,1.0,1.0,1.0
rUS,0.0,0.0,0.0
readers_no,1.0,1.0,1.0
reads_no,1000.0,1000.0,1000.0
recons_no,0.0,0.0,0.0
sEU,3.0,3.0,3.0
sUS,0.0,0.0,0.0
servers_no,3.0,3.0,3.0
succ_writes_no,0.0,0.0,0.0
unsucc_writes_no,0.0,0.0,0.0
wEU,0.0,0.0,0.0
wUS,0.0,0.0,0.0
writers_no,0.0,0.0,0.0
writes_no,0.0,0.0,0.0
