,throughputsEU3US0wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_3throughputsEU3US0wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_4throughputsEU3US0wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_5throughputsEU3US0wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_2throughputsEU3US0wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_1,throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_4throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_3throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_2throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_5throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_1,throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_1throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_5throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_2throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_3throughputsEU3US0wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_4
mean_read_operation_latency,0.015407106189737535,0.003967175034203683,0.01452456462174814
median_read_operation_latency,0.01445510114395438,0.0039917427520413185,0.014503874427002302
std_read_operation_latency,0.0018489662132234615,0.00023392233483176067,8.899925705051627e-05
max_read_operation_latency,0.019103318510839018,0.004320811654069985,0.014675719158014544
min_read_operation_latency,0.014437655170037032,0.0035877193409396568,0.01440607322595315
mean_write_operation_latency,0.015244413913744212,0.004219853775997035,0.014511644963614526
median_write_operation_latency,0.014476021087008122,0.00419659489197511,0.014482276600880141
std_write_operation_latency,0.0015011851762084239,0.0002590107687413244,7.255751469521984e-05
max_write_operation_latency,0.01824438481678226,0.00450502424604565,0.01463973487610565
min_write_operation_latency,0.014425334445048066,0.003804526460953639,0.014443511492008837
rEU,1.0,1.0,1.0
rUS,0.0,0.0,0.0
readers_no,1.0,1.0,1.0
reads_no,1000.0,1000.0,1000.0
recons_no,0.0,0.0,0.0
sEU,3.0,3.0,3.0
sUS,0.0,0.0,0.0
servers_no,3.0,3.0,3.0
succ_writes_no,1000.0,1000.0,1000.0
unsucc_writes_no,0.0,0.0,0.0
wEU,1.0,1.0,1.0
wUS,0.0,0.0,0.0
writers_no,1.0,1.0,1.0
writes_no,1000.0,1000.0,1000.0
succ_writes_perc,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0
