,throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_1throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_5throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_2throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_3throughputsEU2US1wEU0US1rEU0US1_slow_ABD_3-1-1_4,throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_2throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_5throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_4throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_3throughputsEU2US1wEU0US1rEU0US1_slow_ARES_EC_3-1-1-0_1,throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_1throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_5throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_2throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_3throughputsEU2US1wEU0US1rEU0US1_slow_ARES_ABD_3-1-1-0_4
mean_read_operation_latency,0.28673405178967226,0.6288853009251063,0.6111586508287757
median_read_operation_latency,0.28672677265875973,0.6207589371607173,0.6056585364072962
std_read_operation_latency,4.258884416372923e-05,0.023436665319953715,0.0072924653196230526
max_read_operation_latency,0.2867841280972498,0.6742114352098579,0.6203075782918605
min_read_operation_latency,0.28666834871405444,0.6061918140840135,0.6046114279721078
mean_write_operation_latency,0.28694292101609464,0.6282427760877152,0.6109537418770138
median_write_operation_latency,0.286953480291093,0.620629238325142,0.6054261597746518
std_write_operation_latency,5.776419945103837e-05,0.02297505653564074,0.007432150396335875
max_write_operation_latency,0.2870103595319379,0.6728324190440326,0.6201921236488707
min_write_operation_latency,0.2868484812111419,0.6063626899889787,0.604182675936303
rEU,0.0,0.0,0.0
rUS,1.0,1.0,1.0
readers_no,1.0,1.0,1.0
reads_no,1000.0,1000.0,1000.0
recons_no,0.0,0.0,0.0
sEU,2.0,2.0,2.0
sUS,1.0,1.0,1.0
servers_no,3.0,3.0,3.0
succ_writes_no,1000.0,1000.0,1000.0
unsucc_writes_no,0.0,0.0,0.0
wEU,0.0,0.0,0.0
wUS,1.0,1.0,1.0
writers_no,1.0,1.0,1.0
writes_no,1000.0,1000.0,1000.0
succ_writes_perc,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0
